codigo,titulo,genero,duracion,clasificacion,idioma,fecha_estreno,fecha_fin
P034,Inception,Ciencia Ficción,148,C,Subtitulada,2026-01-20,2026-03-20
P012,The Dark Knight,Acción,152,B15,Subtitulada,2026-02-05,2026-04-05
P089,Forrest Gump,Drama,142,A,Español,2026-03-01,2026-05-01
P021,The Lion King,Animación,88,A,Doblada,2026-01-10,2026-03-10
P056,Jurassic Park,Aventura,127,B15,Subtitulada,2026-02-15,2026-04-15
P073,The Matrix,Ciencia Ficción,136,C,Subtitulada,2026-01-25,2026-03-25
P008,Toy Story,Animación,81,A,Doblada,2026-02-01,2026-04-01
P045,Gladiator,Acción,155,C,Subtitulada,2026-03-10,2026-05-10
P019,The Godfather,Drama,175,C,Subtitulada,2026-01-18,2026-03-18
P067,Finding Nemo,Animación,100,A,Doblada,2026-02-20,2026-04-20
P003,Avengers: Endgame,Acción,181,B15,Subtitulada,2026-03-05,2026-05-05
P078,Interstellar,Ciencia Ficción,169,C,Subtitulada,2026-01-30,2026-03-30
P014,Shrek,Comedia,90,A,Doblada,2026-02-10,2026-04-10
P061,The Shawshank Redemption,Drama,142,C,Subtitulada,2026-03-15,2026-05-15
P027,Spider-Man: No Way Home,Acción,148,B15,Subtitulada,2026-02-25,2026-04-25
