codigo,titulo,genero,duracion,clasificacion,idioma,fecha_estreno,fecha_fin
P047,Avatar,Ciencia Ficción,162,B15,Subtitulada,2026-07-12,2026-08-31
P006,Titanic,Drama,195,C,Subtitulada,2026-07-01,2026-09-05
P033,vengadores,Acción,143,B15,Subtitulada,2026-07-05,2026-08-30
P079,Up,Animación,96,A,Doblada,2026-07-20,2026-08-27
P018,peli18,Terror,118,C,Subtitulada,2026-07-10,2026-08-27
P041,backrooms,Acción,134,B15,Subtitulada,2026-07-15,2026-08-27
P025,Inside Out,Animación,95,A,Doblada,2026-07-25,2026-08-31
P072,puro mula,Aventura,178,B15,Subtitulada,2026-07-18,2026-09-18
P009,Coco,Animación,105,A,Doblada,2026-07-30,2026-09-06
P058,lanters,Animación,115,A,Doblada,2026-07-12,2026-09-12
P014,espiderman,Ciencia Ficción,115,B15,Subtitulada,2026-07-01,2026-09-03
P036,sinsajo,Acción,142,B15,Subtitulada,2026-07-20,2026-08-31
P002,MonstersInc,Animación,92,A,Doblada,2026-07-15,2026-08-26
P075,Iron Man,Acción,126,B15,Subtitulada,2026-07-25,2026-09-10
P090,final,Drama,120,C,Subtitulada,2026-07-10,2026-09-10
